,Config,Filename,Model,Name,Species
171,"['pair_style eam/alloy\n', 'pair_coeff * * Pd_Zhou04.eam.alloy Pd\n']",['potential_LAMMPS/2004--Zhou-X-W--Pd--LAMMPS--ipr2/Pd_Zhou04.eam.alloy'],NISTiprpy,2004--Zhou-X-W--Pd--LAMMPS--ipr2,['Pd']
172,"['pair_style eam/alloy\n', 'pair_coeff * * FeNiCr_Bonny_2013_ptDef.eam.alloy Fe Ni Cr\n']",['potential_LAMMPS/2013--Bonny-G--Fe-Ni-Cr--LAMMPS--ipr1/FeNiCr_Bonny_2013_ptDef.eam.alloy'],NISTiprpy,2013--Bonny-G--Fe-Ni-Cr--LAMMPS--ipr1,"['Fe', 'Ni', 'Cr']"
173,"['pair_style meam/c\n', 'pair_coeff * * Fe3C_library_Liyanage_2014.meam Fe C Fe3C_Liyanage_2014.meam Fe C\n']","['potential_LAMMPS/2014--Liyanage-L-S-I--Fe-C--LAMMPS--ipr1/Fe3C_Liyanage_2014.meam', 'potential_LAMMPS/2014--Liyanage-L-S-I--Fe-C--LAMMPS--ipr1/Fe3C_library_Liyanage_2014.meam']",NISTiprpy,2014--Liyanage-L-S-I--Fe-C--LAMMPS--ipr1,"['Fe', 'C']"
174,"['pair_style eam/alloy\n', 'pair_coeff * * CuAg.eam.alloy Cu Ag\n']",['potential_LAMMPS/2006--Williams-P-L--Cu-Ag--LAMMPS--ipr1/CuAg.eam.alloy'],NISTiprpy,2006--Williams-P-L--Cu-Ag--LAMMPS--ipr1,"['Cu', 'Ag']"
175,"['pair_style eam/fs\n', 'pair_coeff * * Al-Fe.eam.fs Al Fe\n']",['potential_LAMMPS/2005--Mendelev-M-I--Al-Fe--LAMMPS--ipr1/Al-Fe.eam.fs'],NISTiprpy,2005--Mendelev-M-I--Al-Fe--LAMMPS--ipr1,"['Al', 'Fe']"
176,"['pair_style eam/fs\n', 'pair_coeff * * K.eam.fs K\n']",['potential_LAMMPS/2016--Nichol-A--K--LAMMPS--ipr1/K.eam.fs'],NISTiprpy,2016--Nichol-A--K--LAMMPS--ipr1,['K']
177,"['pair_style eam/fs\n', 'pair_coeff * * Fe.eam.fs Fe\n']",['potential_LAMMPS/2017--Wang-P--TWIP--LAMMPS--ipr1/Fe.eam.fs'],NISTiprpy,2017--Wang-P--TWIP--LAMMPS--ipr1,['Fe']
178,"['pair_style meam/c\n', 'pair_coeff * * library.Ni.meam Ni Ni.meam Ni\n']","['potential_LAMMPS/2015--Asadi-E--Ni--LAMMPS--ipr1/library.Ni.meam', 'potential_LAMMPS/2015--Asadi-E--Ni--LAMMPS--ipr1/Ni.meam']",NISTiprpy,2015--Asadi-E--Ni--LAMMPS--ipr1,['Ni']
179,"['pair_style eam/alloy\n', 'pair_coeff * * Pb.set Pb\n']",['potential_LAMMPS/2004--Zhou-X-W--Pb--LAMMPS--ipr1/Pb.set'],NISTiprpy,2004--Zhou-X-W--Pb--LAMMPS--ipr1,['Pb']
180,"['pair_style eam/alloy\n', 'pair_coeff * * Al99.eam.alloy Al\n']",['potential_LAMMPS/1999--Mishin-Y--Al--LAMMPS--ipr1/Al99.eam.alloy'],NISTiprpy,1999--Mishin-Y--Al--LAMMPS--ipr1,['Al']
181,"['pair_style meam/spline\n', 'pair_coeff * * Park_MEAM_Mo_2012.spline Mo\n']",['potential_LAMMPS/2012--Park-H--Mo--LAMMPS--ipr1/Park_MEAM_Mo_2012.spline'],NISTiprpy,2012--Park-H--Mo--LAMMPS--ipr1,['Mo']
182,"['pair_style eam/fs\n', 'pair_coeff * * CuZr_3.eam.fs Cu Zr\n']",['potential_LAMMPS/2016--Borovikov-V--Cu-Zr--LAMMPS--ipr1/CuZr_3.eam.fs'],NISTiprpy,2016--Borovikov-V--Cu-Zr--LAMMPS--ipr1,"['Cu', 'Zr']"
183,"['pair_style eam/alloy\n', 'pair_coeff * * Pb_Zhou04.eam.alloy Pb\n']",['potential_LAMMPS/2004--Zhou-X-W--Pb--LAMMPS--ipr2/Pb_Zhou04.eam.alloy'],NISTiprpy,2004--Zhou-X-W--Pb--LAMMPS--ipr2,['Pb']
184,"['pair_style eam/alloy\n', 'pair_coeff * * TaCu_Zhou04.eam.alloy Ta Cu\n']",['potential_LAMMPS/2004--Zhou-X-W--Ta-Cu--LAMMPS--ipr2/TaCu_Zhou04.eam.alloy'],NISTiprpy,2004--Zhou-X-W--Ta-Cu--LAMMPS--ipr2,"['Ta', 'Cu']"
185,"['pair_style eam/alloy\n', 'pair_coeff * * Co_Zhou04.eam.alloy Co\n']",['potential_LAMMPS/2004--Zhou-X-W--Co--LAMMPS--ipr2/Co_Zhou04.eam.alloy'],NISTiprpy,2004--Zhou-X-W--Co--LAMMPS--ipr2,['Co']
186,"['pair_style eam/alloy\n', 'pair_coeff * * Mo.set Mo\n']",['potential_LAMMPS/2004--Zhou-X-W--Mo--LAMMPS--ipr1/Mo.set'],NISTiprpy,2004--Zhou-X-W--Mo--LAMMPS--ipr1,['Mo']
187,"['pair_style eam/alloy\n', 'pair_coeff * * Zr.set Zr\n']",['potential_LAMMPS/2004--Zhou-X-W--Zr--LAMMPS--ipr1/Zr.set'],NISTiprpy,2004--Zhou-X-W--Zr--LAMMPS--ipr1,['Zr']
188,"['pair_style eam/fs\n', 'pair_coeff * * Ni.set Ni\n']",['potential_LAMMPS/2004--Zhou-X-W--Ni--LAMMPS--ipr1/Ni.set'],NISTiprpy,2004--Zhou-X-W--Ni--LAMMPS--ipr1,['Ni']
189,"['pair_style hybrid/overlay eam/alloy eam/fs\n', 'pair_coeff * * eam/alloy FeCr_d.eam.alloy Fe Cr\n', 'pair_coeff * * eam/fs FeCr_s.eam.fs Fe Cr\n']","['potential_LAMMPS/2011--Bonny-G--Fe-Cr--LAMMPS--ipr1/FeCr_s.eam.fs', 'potential_LAMMPS/2011--Bonny-G--Fe-Cr--LAMMPS--ipr1/READ_ME.txt', 'potential_LAMMPS/2011--Bonny-G--Fe-Cr--LAMMPS--ipr1/FeCr_d.eam.alloy']",NISTiprpy,2011--Bonny-G--Fe-Cr--LAMMPS--ipr1,"['Fe', 'Cr']"
190,"['pair_style eam/alloy\n', 'pair_coeff * * Cu01.eam.alloy Cu\n']",['potential_LAMMPS/2001--Mishin-Y--Cu-1--LAMMPS--ipr1/Cu01.eam.alloy'],NISTiprpy,2001--Mishin-Y--Cu-1--LAMMPS--ipr1,['Cu']
191,"['pair_style eam/alloy\n', 'pair_coeff * * Fe_Zhou04.eam.alloy Fe\n']",['potential_LAMMPS/2004--Zhou-X-W--Fe--LAMMPS--ipr2/Fe_Zhou04.eam.alloy'],NISTiprpy,2004--Zhou-X-W--Fe--LAMMPS--ipr2,['Fe']
192,"['pair_style eam/alloy\n', 'pair_coeff * * w_eam2.fs W\n']",['potential_LAMMPS/2013--Marinica-M-C--W-2--LAMMPS--ipr1/w_eam2.fs'],NISTiprpy,2013--Marinica-M-C--W-2--LAMMPS--ipr1,['W']
193,"['pair_style eam/fs\n', 'pair_coeff * * Cu1_v2.eam.fs Cu\n']",['potential_LAMMPS/1987--Ackland-G-J--Cu--LAMMPS--ipr2/Cu1_v2.eam.fs'],NISTiprpy,1987--Ackland-G-J--Cu--LAMMPS--ipr2,['Cu']
194,"['pair_style eam/alloy\n', 'pair_coeff * * Ta2_Ravelo_2013.eam.alloy Ta\n']",['potential_LAMMPS/2013--Ravelo-R--Ta-2--LAMMPS--ipr1/Ta2_Ravelo_2013.eam.alloy'],NISTiprpy,2013--Ravelo-R--Ta-2--LAMMPS--ipr1,['Ta']
195,"['pair_style reax/c NULL\n', 'pair_coeff * * ffield_Ce-O.txt Ce O\n']",['potential_LAMMPS/2015--Broqvist-P--Ce-O--LAMMPS--ipr1/ffield_Ce-O.txt'],NISTiprpy,2015--Broqvist-P--Ce-O--LAMMPS--ipr1,"['Ce', 'O']"
196,"['pair_style eam/fs\n', 'pair_coeff * * Al1.eam.fs Al\n']",['potential_LAMMPS/2008--Mendelev-M-I--Al--LAMMPS--ipr1/Al1.eam.fs'],NISTiprpy,2008--Mendelev-M-I--Al--LAMMPS--ipr1,['Al']
197,"['pair_style eam/alloy\n', 'pair_coeff * * Mishin-Ni-Al-2009.eam.alloy Ni Al\n']",['potential_LAMMPS/2009--Purja-Pun-G-P--Ni-Al--LAMMPS--ipr1/Mishin-Ni-Al-2009.eam.alloy'],NISTiprpy,2009--Purja-Pun-G-P--Ni-Al--LAMMPS--ipr1,"['Ni', 'Al']"
198,"['pair_style eam/alloy\n', 'pair_coeff * * TaCu.set Ta Cu\n']",['potential_LAMMPS/2004--Zhou-X-W--Ta-Cu--LAMMPS--ipr1/TaCu.set'],NISTiprpy,2004--Zhou-X-W--Ta-Cu--LAMMPS--ipr1,"['Ta', 'Cu']"
199,"['pair_style eam/fs\n', 'pair_coeff * * Ni-Zr_Mendelev_2014.eam.fs Ni Zr\n']",['potential_LAMMPS/2015--Wilson-S-R--Ni-Zr--LAMMPS--ipr1/Ni-Zr_Mendelev_2014.eam.fs'],NISTiprpy,2015--Wilson-S-R--Ni-Zr--LAMMPS--ipr1,"['Ni', 'Zr']"
200,"['pair_style eam/alloy\n', 'pair_coeff * * Co.set Co\n']",['potential_LAMMPS/2004--Zhou-X-W--Co--LAMMPS--ipr1/Co.set'],NISTiprpy,2004--Zhou-X-W--Co--LAMMPS--ipr1,['Co']
201,"['pair_style eam/alloy\n', 'pair_coeff * * FeNiCr.eam.alloy Fe Ni Cr\n']",['potential_LAMMPS/2011--Bonny-G--Fe-Ni-Cr--LAMMPS--ipr1/FeNiCr.eam.alloy'],NISTiprpy,2011--Bonny-G--Fe-Ni-Cr--LAMMPS--ipr1,"['Fe', 'Ni', 'Cr']"
202,"['pair_style meam/c\n', 'pair_coeff * * Jelinek_2012_meamf Al Si Mg Cu Fe Jelinek_2012_meam.alsimgcufe Al Si Mg Cu Fe\n']","['potential_LAMMPS/2012--Jelinek-B--Al-Si-Mg-Cu-Fe--LAMMPS--ipr1/Jelinek_2012_meamf', 'potential_LAMMPS/2012--Jelinek-B--Al-Si-Mg-Cu-Fe--LAMMPS--ipr1/Jelinek_2012_meam.alsimgcufe']",NISTiprpy,2012--Jelinek-B--Al-Si-Mg-Cu-Fe--LAMMPS--ipr1,"['Al', 'Si', 'Mg', 'Cu', 'Fe']"
203,"['pair_style eam/fs\n', 'pair_coeff * * Mg1.eam.fs Mg\n']",['potential_LAMMPS/2016--Wilson-S-R--Mg--LAMMPS--ipr1/Mg1.eam.fs'],NISTiprpy,2016--Wilson-S-R--Mg--LAMMPS--ipr1,['Mg']
204,"['pair_style adp\n', 'pair_coeff * * Zr_Nb.adp.txt Zr Nb\n']",['potential_LAMMPS/2017--Smirnova-D-E--Zr-Nb--LAMMPS--ipr1/Zr_Nb.adp.txt'],NISTiprpy,2017--Smirnova-D-E--Zr-Nb--LAMMPS--ipr1,"['Zr', 'Nb']"
205,"['pair_style eam\n', 'pair_coeff 1 1 auu6.txt\n']",['potential_LAMMPS/1989--Adams-J-B--Au--LAMMPS--ipr1/auu6.txt'],NISTiprpy,1989--Adams-J-B--Au--LAMMPS--ipr1,['Au']
206,"['pair_style eam/alloy\n', 'pair_coeff * * Au-2009.eam.alloy Au\n']",['potential_LAMMPS/2009--Zhakhovskii-V-V--Au--LAMMPS--ipr1/Au-2009.eam.alloy'],NISTiprpy,2009--Zhakhovskii-V-V--Au--LAMMPS--ipr1,['Au']
207,"['pair_style eam/alloy\n', 'pair_coeff * * Mishin_updated-Ni-Co-2013.eam.alloy Ni Co\n']",['potential_LAMMPS/2015--Purja-Pun-G-P--Ni-Co--LAMMPS--ipr2/Mishin_updated-Ni-Co-2013.eam.alloy'],NISTiprpy,2015--Purja-Pun-G-P--Ni-Co--LAMMPS--ipr2,"['Ni', 'Co']"
208,"['pair_style eam/alloy\n', 'pair_coeff * * MCM2011_eam.fs Fe\n']",['potential_LAMMPS/2012--Proville-L--Fe--LAMMPS--ipr1/MCM2011_eam.fs'],NISTiprpy,2012--Proville-L--Fe--LAMMPS--ipr1,['Fe']
209,"['pair_style eam/alloy\n', 'pair_coeff * * Ta_Zhou04.eam.alloy Ta\n']",['potential_LAMMPS/2004--Zhou-X-W--Ta--LAMMPS--ipr2/Ta_Zhou04.eam.alloy'],NISTiprpy,2004--Zhou-X-W--Ta--LAMMPS--ipr2,['Ta']
210,"['pair_style eam/alloy\n', 'pair_coeff * * Au_GLJ10_3.eam.alloy Au\n']",['potential_LAMMPS/2017--Purja-Pun-G-P--Au--LAMMPS--ipr1/Au_GLJ10_3.eam.alloy'],NISTiprpy,2017--Purja-Pun-G-P--Au--LAMMPS--ipr1,['Au']
211,"['pair_style eam/fs\n', 'pair_coeff * * Zr_1.eam.fs Zr\n']",['potential_LAMMPS/2007--Mendelev-M-I--Zr-1--LAMMPS--ipr1/Zr_1.eam.fs'],NISTiprpy,2007--Mendelev-M-I--Zr-1--LAMMPS--ipr1,['Zr']
212,"['pair_style eam/alloy\n', 'pair_coeff * * NiAl.eam.alloy Ni Al\n']",['potential_LAMMPS/2004--Mishin-Y--Ni-Al--LAMMPS--ipr1/NiAl.eam.alloy'],NISTiprpy,2004--Mishin-Y--Ni-Al--LAMMPS--ipr1,"['Ni', 'Al']"
213,"['pair_style eam/fs\n', 'pair_coeff * * Ni-Zr_Mendelev_2012.eam.fs Ni Zr\n']",['potential_LAMMPS/2012--Mendelev-M-I--Ni-Zr--LAMMPS--ipr1/Ni-Zr_Mendelev_2012.eam.fs'],NISTiprpy,2012--Mendelev-M-I--Ni-Zr--LAMMPS--ipr1,"['Ni', 'Zr']"
214,"['pair_style eam/alloy\n', 'pair_coeff * * W.set W\n']",['potential_LAMMPS/2004--Zhou-X-W--W--LAMMPS--ipr1/W.set'],NISTiprpy,2004--Zhou-X-W--W--LAMMPS--ipr1,['W']
215,"['pair_style meam/c\n', 'pair_coeff * * library.meam Ni Ti NiTi.meam Ni Ti\n']","['potential_LAMMPS/2015--Ko-W-S--Ni-Ti--LAMMPS--ipr2/library.meam', 'potential_LAMMPS/2015--Ko-W-S--Ni-Ti--LAMMPS--ipr2/NiTi.meam']",NISTiprpy,2015--Ko-W-S--Ni-Ti--LAMMPS--ipr2,"['Ni', 'Ti']"
216,"['pair_style eam/alloy\n', 'pair_coeff * * Al-LEA.eam.alloy Al\n']",['potential_LAMMPS/2004--Liu-X-Y--Al--LAMMPS--ipr1/Al-LEA.eam.alloy'],NISTiprpy,2004--Liu-X-Y--Al--LAMMPS--ipr1,['Al']
217,"['pair_style meam/c\n', 'pair_coeff * * FeTiClibrary.meam Fe Ti C FeTiC.meam Fe Ti C\n']","['potential_LAMMPS/2009--Kim-H-K--Fe-Ti-C--LAMMPS--ipr1/FeTiC.meam', 'potential_LAMMPS/2009--Kim-H-K--Fe-Ti-C--LAMMPS--ipr1/FeTiClibrary.meam']",NISTiprpy,2009--Kim-H-K--Fe-Ti-C--LAMMPS--ipr1,"['Fe', 'Ti', 'C']"
218,"['pair_style eam/alloy\n', 'pair_coeff * * pbcu.setfl Cu Pb\n']",['potential_LAMMPS/2003--Hoyt-J-J--Cu-Pb--LAMMPS--ipr1/pbcu.setfl'],NISTiprpy,2003--Hoyt-J-J--Cu-Pb--LAMMPS--ipr1,"['Cu', 'Pb']"
219,"['pair_style eam/fs\n', 'pair_coeff * * Ni.eam.fs Ni\n']",['potential_LAMMPS/1987--Ackland-G-J--Ni--LAMMPS--ipr1/Ni.eam.fs'],NISTiprpy,1987--Ackland-G-J--Ni--LAMMPS--ipr1,['Ni']
220,"['pair_style vashishta\n', 'pair_coeff * * SiO.1990.vashishta Si O\n']",['potential_LAMMPS/1990--Vashishta-P--Si-O--LAMMPS--ipr1/SiO.1990.vashishta'],NISTiprpy,1990--Vashishta-P--Si-O--LAMMPS--ipr1,"['Si', 'O']"
221,"['pair_style sw\n', 'pair_coeff * * CdTe.sw Cd Te\n']",['potential_LAMMPS/1989--Wang-Z-Q--Cd-Te--LAMMPS--ipr1/CdTe.sw'],NISTiprpy,1989--Wang-Z-Q--Cd-Te--LAMMPS--ipr1,"['Cd', 'Te']"
222,"['pair_style eam/alloy\n', 'pair_coeff * * mo.fs.eam.alloy Mo\n']",['potential_LAMMPS/1987--Ackland-G-J--Mo--LAMMPS--ipr2/mo.fs.eam.alloy'],NISTiprpy,1987--Ackland-G-J--Mo--LAMMPS--ipr2,['Mo']
223,"['pair_style adp\n', 'pair_coeff * * Ta.adp.txt Ta\n']",['potential_LAMMPS/2015--Purja-Pun-G-P--Ta--LAMMPS--ipr1/Ta.adp.txt'],NISTiprpy,2015--Purja-Pun-G-P--Ta--LAMMPS--ipr1,['Ta']
224,"['pair_style lcbop\n', 'pair_coeff * * C.lcbop C\n']",['potential_LAMMPS/2003--Los-J-H--C--LAMMPS--ipr1/C.lcbop'],NISTiprpy,2003--Los-J-H--C--LAMMPS--ipr1,['C']
225,"['pair_style tersoff/zbl\n', 'pair_coeff * * Fe-O.tersoff.zbl Fe O\n']",['potential_LAMMPS/2019--Byggmastar-J--Fe-O--LAMMPS--ipr1/Fe-O.tersoff.zbl'],NISTiprpy,2019--Byggmastar-J--Fe-O--LAMMPS--ipr1,"['Fe', 'O']"
226,"['pair_style eam\n', 'pair_coeff 1 1 Ni_u3.eam\n']",['potential_LAMMPS/1986--Foiles-S-M--Ni--LAMMPS--ipr1/Ni_u3.eam'],NISTiprpy,1986--Foiles-S-M--Ni--LAMMPS--ipr1,['Ni']
227,"['pair_style tersoff\n', 'pair_coeff * * 2003_GaN.tersoff Ga N\n']",['potential_LAMMPS/2003--Nord-J--Ga-N--LAMMPS--ipr1/2003_GaN.tersoff'],NISTiprpy,2003--Nord-J--Ga-N--LAMMPS--ipr1,"['Ga', 'N']"
228,"['pair_style tersoff\n', 'pair_coeff * * 1988_Si(C).tersoff Si\n']",['potential_LAMMPS/1988--Tersoff-J--Si-c--LAMMPS--ipr1/1988_Si(C).tersoff'],NISTiprpy,1988--Tersoff-J--Si-c--LAMMPS--ipr1,['Si']
229,"['pair_style tersoff\n', 'pair_coeff * * 1988_Si(B).tersoff Si\n']",['potential_LAMMPS/1988--Tersoff-J--Si-b--LAMMPS--ipr1/1988_Si(B).tersoff'],NISTiprpy,1988--Tersoff-J--Si-b--LAMMPS--ipr1,['Si']
230,"['pair_style bop\n', 'pair_coeff * * CCu_v2.bop.table C\n']",['potential_LAMMPS/2015--Zhou-X-W--C--LAMMPS--ipr1/CCu_v2.bop.table'],NISTiprpy,2015--Zhou-X-W--C--LAMMPS--ipr1,['C']
231,"['pair_style adp\n', 'pair_coeff * * Si_Au.mod.adp.txt Si Au\n']",['potential_LAMMPS/2018--Starikov-S-V--Si-Au--LAMMPS--ipr2/Si_Au.mod.adp.txt'],NISTiprpy,2018--Starikov-S-V--Si-Au--LAMMPS--ipr2,"['Si', 'Au']"
232,"['pair_style tersoff\n', 'pair_coeff * * 2005_SiC_I.tersoff Si C\n']",['potential_LAMMPS/2005--Erhart-P--Si-C-I--LAMMPS--ipr1/2005_SiC_I.tersoff'],NISTiprpy,2005--Erhart-P--Si-C-I--LAMMPS--ipr1,"['Si', 'C']"
233,"['pair_style tersoff\n', 'pair_coeff * * Ge.tersoff Ge\n']",['potential_LAMMPS/2017--Mahdizadeh-S-J--Ge--LAMMPS--ipr1/Ge.tersoff'],NISTiprpy,2017--Mahdizadeh-S-J--Ge--LAMMPS--ipr1,['Ge']
234,"['pair_style tersoff\n', 'pair_coeff * * 1990_SiC.tersoff Si C\n']",['potential_LAMMPS/1990--Tersoff-J--Si-C--LAMMPS--ipr1/1990_SiC.tersoff'],NISTiprpy,1990--Tersoff-J--Si-C--LAMMPS--ipr1,"['Si', 'C']"
235,"['pair_style eam/alloy\n', 'pair_coeff * * WRe_Setyawan_set145.eam.alloy W Re\n']",['potential_LAMMPS/2018--Setyawan-W--W-Re--LAMMPS--ipr1/WRe_Setyawan_set145.eam.alloy'],NISTiprpy,2018--Setyawan-W--W-Re--LAMMPS--ipr1,"['W', 'Re']"
236,"['pair_style eam/alloy\n', 'pair_coeff * * Fe_Olsson_CMS2009.eam.alloy Fe\n']",['potential_LAMMPS/2009--Olsson-P-A-T--Fe--LAMMPS--ipr1/Fe_Olsson_CMS2009.eam.alloy'],NISTiprpy,2009--Olsson-P-A-T--Fe--LAMMPS--ipr1,['Fe']
237,"['pair_style eam/alloy\n', 'pair_coeff * * CuNi_v2.eam.alloy Cu Ni\n']",['potential_LAMMPS/2013--Onat-B--Cu-Ni--LAMMPS--ipr2/CuNi_v2.eam.alloy'],NISTiprpy,2013--Onat-B--Cu-Ni--LAMMPS--ipr2,"['Cu', 'Ni']"
238,"['pair_style eim\n', 'pair_coeff * * Li Na K Rb Cs F Cl Br I ffield.eim Li Na K Rb Cs F Cl Br I\n']",['potential_LAMMPS/2011--Zhou-X-W--Li-Na-K-Rb-Cs-F-Cl-Br-I--LAMMPS--ipr1/ffield.eim'],NISTiprpy,2011--Zhou-X-W--Li-Na-K-Rb-Cs-F-Cl-Br-I--LAMMPS--ipr1,"['Li', 'Na', 'K', 'Rb', 'Cs', 'F', 'Cl', 'Br', 'I']"
239,"['pair_style sw\n', 'pair_coeff * * GaN.sw Ga N\n']",['potential_LAMMPS/2006--Bere-A--Ga-N--LAMMPS--ipr1/GaN.sw'],NISTiprpy,2006--Bere-A--Ga-N--LAMMPS--ipr1,"['Ga', 'N']"
240,"['pair_style eam/fs\n', 'pair_coeff * * Ag-Ni.eam.fs Ag Ni\n']",['potential_LAMMPS/2018--Pan-Z--Ag-Ni--LAMMPS--ipr1/Ag-Ni.eam.fs'],NISTiprpy,2018--Pan-Z--Ag-Ni--LAMMPS--ipr1,"['Ag', 'Ni']"
241,"['pair_style extep\n', 'pair_coeff * * BN.extep B N\n']",['potential_LAMMPS/2017--Los-J-H--B-N--LAMMPS--ipr1/BN.extep'],NISTiprpy,2017--Los-J-H--B-N--LAMMPS--ipr1,"['B', 'N']"
242,"['pair_style adp\n', 'pair_coeff * * CuTa_LJ15_2014.adp.txt Cu Ta\n']",['potential_LAMMPS/2015--Purja-Pun-G-P--Cu-Ta--LAMMPS--ipr2/CuTa_LJ15_2014.adp.txt'],NISTiprpy,2015--Purja-Pun-G-P--Cu-Ta--LAMMPS--ipr2,"['Cu', 'Ta']"
243,"['pair_style bop\n', 'pair_coeff * * AlCu.bop.table Al Cu\n']",['potential_LAMMPS/2016--Zhou-X-W--Al-Cu--LAMMPS--ipr1/AlCu.bop.table'],NISTiprpy,2016--Zhou-X-W--Al-Cu--LAMMPS--ipr1,"['Al', 'Cu']"
244,"['pair_style meam/spline\n', 'pair_coeff * * Ti.meam.spline Ti\n']",['potential_LAMMPS/2008--Hennig-R-G--Ti--LAMMPS--ipr1/Ti.meam.spline'],NISTiprpy,2008--Hennig-R-G--Ti--LAMMPS--ipr1,['Ti']
245,"['pair_style eam/alloy\n', 'pair_coeff * * FeNiCrCoCu-heamix.eam.alloy Fe Ni Cr Co Cu\n']",['potential_LAMMPS/2018--Farkas-D--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1/FeNiCrCoCu-heamix.eam.alloy'],NISTiprpy,2018--Farkas-D--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,"['Fe', 'Ni', 'Cr', 'Co', 'Cu']"
246,"['pair_style vashishta\n', 'pair_coeff * * SiC.vashishta Si C\n']",['potential_LAMMPS/2007--Vashishta-P--Si-C--LAMMPS--ipr1/SiC.vashishta'],NISTiprpy,2007--Vashishta-P--Si-C--LAMMPS--ipr1,"['Si', 'C']"
247,"['pair_style edip\n', 'pair_coeff * * Si.edip Si\n']",['potential_LAMMPS/1998--Justo-J-F--Si--LAMMPS--ipr1/Si.edip'],NISTiprpy,1998--Justo-J-F--Si--LAMMPS--ipr1,['Si']
248,"['pair_style tersoff/mod\n', 'pair_coeff * * Si.tersoff.mod Si\n']",['potential_LAMMPS/2007--Kumagai-T--Si--LAMMPS--ipr1/Si.tersoff.mod'],NISTiprpy,2007--Kumagai-T--Si--LAMMPS--ipr1,['Si']
249,"['pair_style eam/alloy\n', 'pair_coeff * * CuNi.eam.alloy Cu Ni\n']",['potential_LAMMPS/2013--Onat-B--Cu-Ni--LAMMPS--ipr1/CuNi.eam.alloy'],NISTiprpy,2013--Onat-B--Cu-Ni--LAMMPS--ipr1,"['Cu', 'Ni']"
250,"['pair_style eam/alloy\n', 'pair_coeff * * V_Olsson_CMS2009.eam.alloy V\n']",['potential_LAMMPS/2009--Olsson-P-A-T--V--LAMMPS--ipr1/V_Olsson_CMS2009.eam.alloy'],NISTiprpy,2009--Olsson-P-A-T--V--LAMMPS--ipr1,['V']
251,"['pair_style eam\n', 'pair_coeff 1 1 Pd_u3.eam\n']",['potential_LAMMPS/1986--Foiles-S-M--Pd--LAMMPS--ipr1/Pd_u3.eam'],NISTiprpy,1986--Foiles-S-M--Pd--LAMMPS--ipr1,['Pd']
252,"['pair_style vashishta\n', 'pair_coeff * * InP.vashishta In P\n']",['potential_LAMMPS/2009--Branicio-P-S--In-P--LAMMPS--ipr1/InP.vashishta'],NISTiprpy,2009--Branicio-P-S--In-P--LAMMPS--ipr1,"['In', 'P']"
253,"['pair_style eam/alloy\n', 'pair_coeff * * FeNiCrCoCu-heafixed.setfl Fe Ni Cr Co Cu\n']",['potential_LAMMPS/2018--Farkas-D--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr2/FeNiCrCoCu-heafixed.setfl'],NISTiprpy,2018--Farkas-D--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr2,"['Fe', 'Ni', 'Cr', 'Co', 'Cu']"
254,"['pair_style agni\n', 'pair_coeff * * Al_jpc.agni Al\n']",['potential_LAMMPS/2017--Botu-V--Al--LAMMPS--ipr1/Al_jpc.agni'],NISTiprpy,2017--Botu-V--Al--LAMMPS--ipr1,['Al']
255,"['pair_style bop\n', 'pair_coeff * * GaAs.bop.table Ga As\n']",['potential_LAMMPS/2006--Murdick-D-A--Ga-As--LAMMPS--ipr1/GaAs.bop.table'],NISTiprpy,2006--Murdick-D-A--Ga-As--LAMMPS--ipr1,"['Ga', 'As']"
256,"['pair_style adp\n', 'pair_coeff * * AlCu.adp Al Cu\n']",['potential_LAMMPS/2011--Apostol-F--Al-Cu--LAMMPS--ipr1/AlCu.adp'],NISTiprpy,2011--Apostol-F--Al-Cu--LAMMPS--ipr1,"['Al', 'Cu']"
257,"['pair_style eam\n', 'pair_coeff 1 1 Pt_u3.eam\n']",['potential_LAMMPS/1986--Foiles-S-M--Pt--LAMMPS--ipr1/Pt_u3.eam'],NISTiprpy,1986--Foiles-S-M--Pt--LAMMPS--ipr1,['Pt']
258,"['pair_style agni\n', 'pair_coeff * * Al_prb.agni Al\n']",['potential_LAMMPS/2015--Botu-V--Al--LAMMPS--ipr1/Al_prb.agni'],NISTiprpy,2015--Botu-V--Al--LAMMPS--ipr1,['Al']
259,"['pair_style eam/alloy\n', 'pair_coeff * * W_Olsson_CMS2009.eam.alloy W\n']",['potential_LAMMPS/2009--Olsson-P-A-T--W--LAMMPS--ipr1/W_Olsson_CMS2009.eam.alloy'],NISTiprpy,2009--Olsson-P-A-T--W--LAMMPS--ipr1,['W']
260,"['pair_style bop\n', 'pair_coeff * * CCu_v2.bop.table C Cu\n']",['potential_LAMMPS/2015--Zhou-X-W--C-Cu--LAMMPS--ipr1/CCu_v2.bop.table'],NISTiprpy,2015--Zhou-X-W--C-Cu--LAMMPS--ipr1,"['C', 'Cu']"
261,"['pair_style meam/spline\n', 'pair_coeff * * Si_1.meam.spline Si\n']",['potential_LAMMPS/2000--Lenosky-T-J--Si--LAMMPS--ipr1/Si_1.meam.spline'],NISTiprpy,2000--Lenosky-T-J--Si--LAMMPS--ipr1,['Si']
