,Filename,Model,Name,Species,n_elect,ENMAX
111,potpaw_PBE/Ge/POTCAR,gga-pbe,Ge-gga-pbe,['Ge'],4.0,173.807
112,potpaw_PBE/Ge_GW/POTCAR,gga-pbe,Ge_GW-gga-pbe,['Ge'],4.0,173.807
113,potpaw_PBE/Ge_d/POTCAR,gga-pbe,Ge_d-gga-pbe,['Ge'],14.0,310.294
114,potpaw_PBE/Ge_d_GW/POTCAR,gga-pbe,Ge_d_GW-gga-pbe,['Ge'],14.0,375.434
115,potpaw_PBE/Ge_h/POTCAR,gga-pbe,Ge_h-gga-pbe,['Ge'],14.0,410.425
116,potpaw_PBE/Ge_sv_GW/POTCAR,gga-pbe,Ge_sv_GW-gga-pbe,['Ge'],22.0,410.425
117,potpaw_PBE/H/POTCAR,gga-pbe,H-gga-pbe,['H'],1.0,250.0
118,potpaw_PBE/H.25/POTCAR,gga-pbe,H.25-gga-pbe,['H.25'],0.25,250.0
119,potpaw_PBE/H.33/POTCAR,gga-pbe,H.33-gga-pbe,['H.33'],0.33,250.0
120,potpaw_PBE/H.42/POTCAR,gga-pbe,H.42-gga-pbe,['H.42'],0.42,250.0
121,potpaw_PBE/H.5/POTCAR,gga-pbe,H.5-gga-pbe,['H.5'],0.5,250.0
122,potpaw_PBE/H.58/POTCAR,gga-pbe,H.58-gga-pbe,['H.58'],0.58,250.0
123,potpaw_PBE/H.66/POTCAR,gga-pbe,H.66-gga-pbe,['H.66'],0.66,250.0
124,potpaw_PBE/H.75/POTCAR,gga-pbe,H.75-gga-pbe,['H.75'],0.75,250.0
125,potpaw_PBE/H1.25/POTCAR,gga-pbe,H1.25-gga-pbe,['H1.25'],1.25,250.0
126,potpaw_PBE/H1.33/POTCAR,gga-pbe,H1.33-gga-pbe,['H1.33'],1.33,250.0
127,potpaw_PBE/H1.5/POTCAR,gga-pbe,H1.5-gga-pbe,['H1.5'],1.5,250.0
128,potpaw_PBE/H1.66/POTCAR,gga-pbe,H1.66-gga-pbe,['H1.66'],1.66,250.0
129,potpaw_PBE/H1.75/POTCAR,gga-pbe,H1.75-gga-pbe,['H1.75'],1.75,250.0
130,potpaw_PBE/H_AE/POTCAR,gga-pbe,H_AE-gga-pbe,['H'],1.0,1000.0
131,potpaw_PBE/H_GW/POTCAR,gga-pbe,H_GW-gga-pbe,['H'],1.0,300.0
132,potpaw_PBE/H_h/POTCAR,gga-pbe,H_h-gga-pbe,['H'],1.0,700.0
133,potpaw_PBE/H_h_GW/POTCAR,gga-pbe,H_h_GW-gga-pbe,['H'],1.0,700.0
134,potpaw_PBE/H_s/POTCAR,gga-pbe,H_s-gga-pbe,['H'],1.0,200.0
135,potpaw_PBE/He/POTCAR,gga-pbe,He-gga-pbe,['He'],2.0,478.896
136,potpaw_PBE/He_AE/POTCAR,gga-pbe,He_AE-gga-pbe,['He'],2.0,2135.871
137,potpaw_PBE/He_GW/POTCAR,gga-pbe,He_GW-gga-pbe,['He'],2.0,405.78
138,potpaw_PBE/Hf/POTCAR,gga-pbe,Hf-gga-pbe,['Hf'],4.0,220.334
139,potpaw_PBE/Hf_pv/POTCAR,gga-pbe,Hf_pv-gga-pbe,['Hf'],10.0,220.334
140,potpaw_PBE/Hf_sv/POTCAR,gga-pbe,Hf_sv-gga-pbe,['Hf'],12.0,237.444
141,potpaw_PBE/Hf_sv_GW/POTCAR,gga-pbe,Hf_sv_GW-gga-pbe,['Hf'],12.0,282.964
142,potpaw_PBE/Hg/POTCAR,gga-pbe,Hg-gga-pbe,['Hg'],12.0,233.204
143,potpaw_PBE/Hg_sv_GW/POTCAR,gga-pbe,Hg_sv_GW-gga-pbe,['Hg'],20.0,312.028
144,potpaw_PBE/Ho/POTCAR,gga-pbe,Ho-gga-pbe,['Ho'],21.0,257.168
145,potpaw_PBE/Ho_3/POTCAR,gga-pbe,Ho_3-gga-pbe,['Ho'],9.0,154.137
146,potpaw_PBE/I/POTCAR,gga-pbe,I-gga-pbe,['I'],7.0,175.647
147,potpaw_PBE/I_GW/POTCAR,gga-pbe,I_GW-gga-pbe,['I'],7.0,175.647
148,potpaw_PBE/I_sv_GW/POTCAR,gga-pbe,I_sv_GW-gga-pbe,['I'],25.0,381.674
149,potpaw_PBE/In/POTCAR,gga-pbe,In-gga-pbe,['In'],3.0,95.934
150,potpaw_PBE/In_d/POTCAR,gga-pbe,In_d-gga-pbe,['In'],13.0,239.211
151,potpaw_PBE/In_d_GW/POTCAR,gga-pbe,In_d_GW-gga-pbe,['In'],13.0,278.624
152,potpaw_PBE/In_sv_GW/POTCAR,gga-pbe,In_sv_GW-gga-pbe,['In'],21.0,366.771
